Rank,Shop name,Area,Google reviews,Instagram,Website,Email,Phone,Owner,Opener detail,POS signal,Touch 1,Replied?,Status,Notes
14,Ground Support Cafe,SoHo,~810 (4.4),@groundsupportcafe,groundsupportcafe.com,contact form,(212) 219-8733,?,W Broadway people-watching institution since 2009,SQUARE confirmed,,,New,
15,Interlude Coffee & Tea,Tribeca,? (4.7),@interludenyc,interludenyc.com,info@interludenyc.com,(212) 219-2067,Josh Kim,Brother-sister team; honey butter scones nod to Korean heritage,SQUARE confirmed,,,New,
16,Stonefruit Espresso,Bed-Stuy,423 (4.3),@stonefruitespresso,stonefruitespresso.com,on site (obfuscated),(718) 230-4147,Laure,Half cafe half plant shop around the corner from her home,SQUARE confirmed,,,New,
17,Hibiscus Brew,Prospect Lefferts Gardens,? (4.8),@hibiscusbrew,hibiscusbrew.co,hello@hibiscusbrew.co,(347) 404-6016,Allison,Generational-recipe sorrel got Forbes coverage 5/2025,SQUARE confirmed,,,New,
18,Saltwater Coffee,West Village/EV/LES,~691 (4.5),@saltwaternyc,saltwaternyc.com,info@saltwaternyc.com,(917) 881-2466,Sid,Aussie-run; Milo latte and flat-white flights,SQUARE confirmed,,,New,3 locations
19,Third Rail Coffee,Greenwich Village,~868 (4.2),@thirdrailcoffee,thirdrailcoffee.com,info@thirdrailcoffee.com,(646) 580-1240,?,Tiny standing-bar by Washington Square; surgically precise espresso,none,,,New,
20,SUITED,FiDi,~692 (4.6),@suited_nyc,suitednyc.com,contact form,?,Andrew,Tailor-made coffee for the Wall Street crowd,none,,,New,
21,Sey Coffee,Bushwick,"~1,283 (4.6)",@seycoffee,seycoffee.com,hello@sey.coffee,(347) 871-1611,Tobin,Food & Wine's best coffee shop in NY state,none,,,New,
22,Little Collins,Midtown East,"1,400+ (4.7)",@littlecollinsnyc,littlecollinsnyc.com,info@littlecollinsnyc.com,(212) 308-1969,Leon,Installed NYC's first under-counter Modbar espresso system,own web ordering,,,New,
23,Abraço,East Village,"1,000+ (4.3)",@abraco_espresso,abraconyc.com,info@abraconyc.com,(212) 388-9731,Jamie,EV institution since 2007; cult olive-oil cake,none,,,New,
24,Mudspot (MUD),East Village,"1,000+ (4.3)",?,mudnyc.com,hello@mudnyc.com,(212) 529-8766,Nina & Greg,Started as the orange MUD truck; campfire mugs + back garden,none,,,New,
25,Ninth Street Espresso,Alphabet City,515 (4.2),@ninthstreetespresso,ninthstreetespresso.com,orders@ninthstreetespresso.com,(212) 358-9225,Ken,NYC's original avant-garde espresso bar (2001),explicitly no mobile ordering,,,New,4 locations
26,Everyman Espresso,East Village,400+ (?),@everymanespresso,everymanespresso.com,sam@everymanespresso.com,(212) 533-0524,Sam,Owner has I-heart-NY coffee tattoo on his knuckles; shares space with a theater,?,,,New,Owner direct email
27,Banter,Greenwich Village,"~1,100 (4.5)",@banternyc,banternyc.com,contact form,?,Josh & Nick,Employee-owned Aussie cafe; 30-40 min brunch waits,own takeout page,,,New,
28,La Parisienne,FiDi,"1,100+ (?)",@laparisiennenyc,laparisiennenyc.com,contact@laparisiennenyc.com,(646) 756-4911,Julie,French couple; opened LP Upstairs event loft,TOAST,,,New,Soft built-in phrasing
29,Seven Grams Caffe,Chelsea,~630 (4.5),@sevengramscaffe,sevengramscaffe.com,info@sevengramscaffe.com,(212) 727-1777,?,Thrillist top-5 NYC chocolate chip cookie,?,,,New,
30,Bird & Branch,Hell's Kitchen,~540 (4.6),@birdandbranchnyc,birdandbranch.com,info@birdandbranch.com,(917) 265-8444,Brandon & Faith,Job-training program for people with barriers to employment; Snow Owl latte,?,,,New,
31,Kos Kaffe,Park Slope,~475 (4.2),@koskaffe,koskaffe.com,koskaffe@gmail.com,(718) 768-6868,Allon,Roasts in-house since 2012; co-owner is a published cookbook author,none,,,New,
32,C&B Cafe,Alphabet City,500+ (4.6),@candbnyc,candbnyc.com,ali@candbnyc.com,(212) 674-2985,Ali,Turkish chef-owner bakes his own sourdough; Sunday jazz,none,,,New,Owner direct email
33,Rhythm Zero,Greenpoint + West Village,~500 (4.6),@rhythmzeronyc,rhythmzeronyc.com,help@rhythmzero.nyc,?,?,Museum-like coffee-culture space; Maple Sea Salt latte,?,,,New,34K IG
34,Nook,Bushwick,~735 (4.6),@nook_bklyn,nookbk.com,nookbushwick@gmail.com,(718) 734-2880,?,Jazz nights comedy board games + craft-beer license,?,,,New,
35,Sweetleaf Coffee Roasters,Long Island City,~500+ (4.3),?,sweetleafcoffee.com,sweetleafLIC@gmail.com,(917) 832-6726,?,Vinyl Record Room; Center Blvd shop turns cocktail bar at 5pm,own web ordering,,,New,3 locations
36,Espresso 77,Jackson Heights,~500 (?),@espresso77newyork,espresso77.com,info@espresso77.com,(718) 424-1077,Afzar,Rotating local-artist gallery walls + weekend live music,joe.coffee,,,New,
37,Kinship Coffee Roasters,Astoria,533 (4.2),@kinshipcoffee,kinshipcoffeeroasters.com,contact form,(646) 512-2106,Ashley & Stanley,Free public coffee cuppings every Monday 10:30am,none,,,New,4 locations
38,Mighty Oak Roasters,Astoria,~450 (4.6),@mightyoakroasters,mightyoakroasters.com,contact form,?,?,New York's only wood-fired coffee roaster,Square likely,,,New,
39,Sit & Wonder,Prospect Heights,~554 (4.4),@sitandwondercoffeeshop,sitandwonder.net,contact form,(718) 622-0299,?,Back-garden patio + book exchange + house-made almond milk,none,,,New,
40,Postmark Cafe,Park Slope,~527 (4.8),@postmarkcafe,postmarkcafe.com,postmarkcafe@gmail.com,(718) 768-2613,?,Donates 100% of its tip jar to local nonprofits,NetWaiter,,,New,
41,Beans & Leaves Cafe,Staten Island,~588 (4.2),@beansandleavescafe,beansandleavescafe.com,beansandleavescafe@gmail.com,(718) 448-0276,Megan,Over-the-top waffle creations featured in Gothamist,own web ordering,,,New,27K IG
42,Mon Amour Coffee & Wine,Riverdale Bronx,~800 (4.5),@monamourcoffeewine,monamourcoffee.com,contact form,(718) 708-7804,?,Parisian cafe-meets-wine-bar with live music weekends,SpotOn,,,New,
43,Bloom Cafe,Staten Island,471 (4.9),@bloomcafesi,bloomcafesi.com,form (goes to owner inbox),(929) 308-2863,?,Top-3 SI Advance Best of Coffee; plastic-free packaging,none,,,New,
44,Picky Barista,Upper West Side,~600 (4.5),@pickybaristany,pickybarista.com,pickybarista@gmail.com,(646) 684-3037,Dragan,Serbian family shop - Mama Bulic still bakes the burekas; just opened 5th location,joe.coffee,,,New,
45,Plowshares Coffee,Upper West Side,~645 (4.1),@plowsharescoffee,plowsharescoffee.com,info@plowsharescoffee.com,(212) 222-0280,Anthony,Roasting own beans since 2008,none live,,,New,
46,Frisson Espresso,Hell's Kitchen,"~1,000 (4.6)",@frissonespresso,frissonespresso.co,frissonespresso@gmail.com,(646) 850-3928,?,Local artists' work on whitewashed brick; theater-district crowd,GetSauce patchwork,,,New,
47,Yanni's Coffee,Chelsea,~600 (4.7),@yanniscoffee,none,contact form,(646) 833-7333,Yanni,Left advertising to open it; hand-shaped cookies,joe.coffee,,,New,
48,Caffè de Martini,Prospect Heights,~335 (4.8),@caffedemartininyc,caffedemartini.com,contact form,(929) 306-8332,Stefano,Coffee + chocolate from grandfather Ettore's 1930 Turin pastry business,delivery only,,,New,24K IG
49,D'Amico Coffee Roasters,Carroll Gardens,~359 (4.5),@damicocoffee,damicocoffee.com,info@damicocoffee.com,(718) 875-5403,Frank,Third-generation family roasting on Court St since 1948,none,,,New,
50,Bittersweet,Fort Greene,~499 (4.3),@bittersweetcoffeebk,bittersweetbk.com,contact@bittersweetbk.com,(718) 852-2556,Lucien,Husband-wife aquamarine storefront by Fort Greene Park since 2005; cult maple latte,joe.coffee,,,New,
51,"Ciao, Gloria",Prospect Heights,~247 (4.7),@ciaogloria,ciaogloria.com,ciao@ciaogloria.com,(716) 666-2426,Renato,Co-founded famed BAKED in Red Hook; Italo Disco Club sandwich,delivery only,,,New,Just under 250
52,Little Canal,Lower East Side,332 (4.4),@littlecanal,littlecanal.com,info@littlecanal.com,(917) 472-7479,Jereme,At the F-train stairwell; pours Michigan craft beer,none,,,New,
53,Gasoline Alley Coffee,NoHo,301 (4.1),@gasolinealleycoffee,gasolinealleycoffee.com,info@gasolinealleycoffee.com,(212) 933-0113,Neville & Nick,Named for NoHo's old Gasoline Alley era,?,,,New,
54,The Plug,Washington Heights,254 (4.9),@theplugcoffeenyc,theplug.coffee,contact form,?,Ben,Mom-and-pop that doubles as Manhattan's only tiny skate shop,joe.coffee,,,New,
55,Moa Coffee,Astoria/Woodside,257 (4.5),@moacoffeenyc,moacoffeenyc.com,?,(929) 328-0043,?,Korean-style cafe famous for strawberry matcha; 3rd shop opened 2/2026,none,,,New,
56,GREY Cafe,Flushing,~300 (4.6),@greycafeny,greycafe.shop,?,(718) 229-2342,?,Cult black-sesame grey latte; open till 11pm study-cafe,delivery only,,,New,
57,Under Pressure Coffee,Astoria,~266 (?),@underpressurecoffeenyc,underpressurecoffee.com,contact form,(718) 433-9380,Mike,Best Cafe in Astoria winner; Greek freddo cappuccino,delivery only,,,New,
58,Aubergine Cafe,Woodside,~379 (?),@auberginecafe,auberginecafe.com,contact form,(718) 899-1735,?,Skillman Ave institution; just expanded next door,NetWaiter,,,New,
59,Milk & Pull,Ridgewood +2,? (4.2),@milkandpull,milkandpull.com,contact form,(718) 821-1155,Joe & Angela,Husband-wife duo who met working at the Fifth Ave H&M,joe.coffee,,,New,
60,The Elk,West Village,~675 (4.4),@theelknyc,theelknyc.com,contact form,(212) 933-4780,Claire Chan,Pacific-Northwest cabin vibe; Taylor Swift name-checked it,none,,,New,
61,Gotan,Tribeca,~486+ (4.4),?,gotancafe.com,info@gotancafe.com,(212) 431-5200,?,Corner at the Franklin St stop; big catering arm,own site,,,New,4 locations
62,Cafe Integral,Nolita,636 (4.4),@cafeintegral,cafeintegral.com,contact form,(646) 801-5747,Cesar,Everything single-origin Nicaraguan; house-made plant milks,delivery only,,,New,
63,Merriweather,West Village,? (4.6),?,merriweathernyc.com,info@merriweathernyc.com,(646) 678-5678,?,Hudson St daily-driver famous for avocado toast,none,,,New,
64,The Jolly Goat Coffee Bar,Hell's Kitchen,~416 (4.6),@thejollygoat,thejollygoat.com,contact form,(646) 509-8957,?,Kyoto cold brew; sister roaster Urban Rooster,?,,,New,
65,The Chipped Cup,Hamilton Heights,250+ (4.6),@chippedcupny,chippedcupcoffee.com,contact form,(212) 368-8881,?,Victorian psychedelic shop with grandma's-attic decor + garden patio,delivery only,,,New,
66,Black Press Coffee,Upper West Side,~260 (4.5),@blackpresscoffee,blackpresscoffee.com,info@blackpresscoffee.com,(646) 490-6499,?,Regulars grew into the Four Hands Collective arts org,joe.coffee,,,New,
67,Sipsteria,Morningside Heights + UWS,<250 (4.7),@sipsterianyc,sipsteria.com,sip@sipsteria.com,(917) 388-2200,?,Espresso by day natural wine by night; Saturday jazz,joe.coffee,,,New,
68,Ginjan Cafe,East Harlem,<250 (4.5),@ginjancafe,ginjanbros.com,organic@ginjanbros.com,?,Mohammed & Rahim,Brothers from Guinea; family ginger-pineapple juice served as a latte,none,,,New,
69,Kuro Kuma Espresso,Morningside Heights,<250 (4.7),@kurokumaespressocoffee,none (FB),kurokuma.espresso@gmail.com,(917) 972-4774,?,Japanese for black bear - homage to Sakura Park next door,none,,,New,
70,Oslo Coffee Roasters,Williamsburg + UES,~716 (4.0),@oslocoffeeroasters,oslocoffee.com,contact form,(718) 782-0332,JD & Kathy,Ex-Starbucks JD; roasts named for Norse gods,?,,,New,4 shops
71,White Noise Coffee,Boerum Hill,~225 (4.3),@whitenoisecoffeeco,whitenoisecoffee.com,contact form,(718) 858-0258,Vanesa,Former-actress founder stages the cafe like a show,joe.coffee,,,New,Just under 250
72,Root Hill Cafe,Gowanus,~205 (?),@roothillcafe,roothillcafe.com,contact form,(718) 855-3475,Kendra,Women- and Black-owned corner cafe since 2015,SQUARE confirmed,,,New,
73,JJ Brown Cup,Upper East Side,~280 (4.5),?,none,phone only,(212) 369-3949,?,Yorkville hideaway famous for bacon-egg-and-cheese croissant,none,,,New,No web presence at all
74,Ludlow Coffee Supply,Lower East Side,~319 (?),@ludlowcoffeesupply,ludlowcoffeesupply.com,info@ludlowcoffee.com,(917) 472-7632,John,Drips and clips - the cafe doubles as a barbershop,joe.coffee,,,New,
75,Book Club Bar,Alphabet City,~200 (?),@bookclubbar,bookclubbar.com,info@bookclubbar.com,(646) 678-4160,Erin & Nat,Bookstore + espresso/cocktail bar with back garden,joe.coffee,,,New,
76,Black Fox Coffee,FiDi +4,"1,487 (4.4)",@blackfoxcoffeoco,blackfoxcoffee.com,shop@blackfoxcoffee.com,(917) 742-0133,?,CBS's Best Local Coffee Shop in NYC,none,,,New,5 locations - big fish
77,Irving Farm New York,Gramercy,"1,000+ (4.4)",@irvingfarmcoffee,irvingfarmcoffee.com,info@irvingfarm.com,(212) 206-0707,?,Original 1996 cafe in a Gramercy brownstone garden level,joe.coffee,,,New,6-7 locations - big fish
78,Caffe Reggio,Greenwich Village,"1,776 (4.3)",?,caffereggio.com,?,(212) 475-9557,?,Served America's first cappuccino in 1927,table service,,,New,Old-world culture - harder sell
79,Hi-Collar,East Village,500+ (?),@hi_collar,hi-collar.com,info@hi-collar.com,(212) 777-7018,?,Japanese kissaten by day sake bar by night,SQUARE confirmed,,,New,Restaurant-group owned
80,Variety Coffee Roasters,Bushwick +,? (4.4),@varietycoffeeroasters,varietycoffeeroasters.com,info@varietycoffeeroasters.com,(718) 497-2326,Gavin,Started on Graham Ave 2008,none,,,New,~9 locations - above sweet spot
81,Cafe Erzulie,Bushwick,? (4.5),@cafe.erzulie,cafeerzulie.com,info@cafeerzulie.com,?,Mark,Haitian cafe with backyard jazz + steel drums,?,,,New,52K IG; venue hybrid
82,Terremoto Coffee,West Village,~333 (4.5),@terremotocoffee,terremotocoffee.com,info@terremotocoffee.com,(212) 243-4300,?,Gold-plated espresso machine in a one-room bar,none,,,New,
83,One Girl Cookies,Cobble Hill,~276 (?),@onegirlcookies,onegirlcookies.com,info@onegirlcookies.com,(212) 675-4996,Dawn,Started baking hundreds of cookies a night in her apartment; Oprah press,own site,,,New,Bakery-first
84,Peck's,Clinton Hill,~194 (4.4),@pecksfood,pecksfood.com,info@pecksfood.com,(347) 689-4969,Theo,Food lineage back to LES Ratner's; smoked pastrami breakfast sandwich,Lightspeed,,,New,
85,Prince Coffee House,Belmont Bronx,~206 (4.4),@princecoffeehouseny,princecoffeeshop.com,contact form,(646) 875-1868,?,Turkish coffee cups hang from the ceiling in Bronx's Little Italy,patchwork web ordering,,,New,
86,Double Dutch Espresso,Harlem,~276 (?),@doubledutchespresso,doubledutchespresso.com,contact form,(646) 429-8834,?,Signature drink The Shorty; beloved back patio,TOAST,,,New,
87,Rex,Hell's Kitchen,~680 (4.6),@rexcoffeenyc,rex-nyc.com,contact@rex-nyc.com,(212) 757-0580,?,Breakfast burritos + Counter Culture coffee,?,,,New,
88,I Like It Black,Harlem,<250 (?),@ilikeitblackcoffeeshop,i-like-it-black-coffee-shop.square.site,contact form,(929) 532-2253,Aliyyah,Opened Juneteenth 2021 by the Make My Cake family; pours only Black- and Latinx-owned roasters,SQUARE confirmed,,,New,
89,Stone Street Coffee,Chelsea,~140 (4.5),@stonecoffeecompany,stonestreetcoffee.com,contact form,(347) 335-0751,?,Hidden speakeasy (Bathtub Gin) behind the shop,joe.coffee,,,New,Under 250
90,Chakra Cafe,Sunnyside,~185 (?),@chakracafenyc,chakrany.com,?,(929) 462-0051,Daniel,Queens Blvd corner known for the taco bagel,?,,,New,Under 250
91,Homecoming,Greenpoint,~138 (4.6),@homecoming,home-coming.com,contact form,(347) 457-5385,?,Flower-shop-meets-cafe - lattes among fresh bouquets,?,,,New,21K IG; under 250
92,About Coffee,Upper West Side,407 (3.9),@aboutcoffeenyc,aboutcoffee.nyc,aboutcoffeenyc@gmail.com,(646) 852-6812,Hany,Husband-wife shop; espresso in real porcelain at 445 Columbus,delivery only,,,New,3.9 rating - softer lead
93,Saturn Road,Cobble Hill,~131 (4.8),@saturnroadnyc,saturnroadnyc.com,contact@saturnroadnyc.com,(347) 799-2500,Chelsey,Two Texan best friends; wine + jazz-on-vinyl backyard,?,,,New,Under 250
94,Not As Bitter,Alphabet City,<250 (4.2),@notasbitter,notasbitter.com,hello@notasbitter.com,(646) 939-3129,Jeffrey,Fresh-fruit lattes + butter beer that got Time Out press,joe.coffee,,,New,Young shop
95,Fellini Coffee,West Village +2,182 (4.0),@fellinicoffee,fellinicoffee.com,hello@fellinicoffee.com,?,Franco,16-sq-ft espresso window famous for celebrity sightings,none,,,New,Under 250
96,The Best Coffee Shop,Stapleton SI,283 (4.5),?,none,phone only,(718) 556-9565,Maria,Family-run - we cook the way WE love to eat,delivery only,,,New,Thin web presence
97,Boogie Down Grind,Hunts Point Bronx,~75 (4.5),@boogiedowngrind,boogiedowngrind.com,contact form,(347) 270-0141,Majora,Owner is nationally known urban-revitalization strategist; first specialty coffee in the South Bronx,delivery only,,,New,Under 250; great story
98,Cafe Con Libros,Crown Heights,<250 (4.7),@cafeconlibros_bk,cafeconlibrosbk.com,info@cafeconlibrosbk.com,(929) 327-9373,Kalima,Feminist bookstore-cafe inspired by a Toni Morrison quote,none,,,New,Under 250
99,Green Lane Coffee,Upper East Side,97 (4.8),@green_lane_coffee,greenlane.coffee,?,(646) 590-1406,Dmitry,Dog-friendly rebuild after losing Greenpoint original - full-circle story,joe.coffee,,,New,Under 250
100,Odd Fox Coffee,Greenpoint,~89 (4.7),@odd_fox_coffee,oddfoxcoffee.com,contact form,?,Adam,Lego-mini coffee shop diorama on the counter with its own IG,?,,,New,Under 250; charming opener
